invoice_no,customer_id,mall_id,payment_id,invoice_date
I100214,C989972,5,3,2022-03-06
I100215,C198589,6,2,2021-04-12
I100216,C145243,6,3,2022-03-09
I100218,C205490,1,3,2022-10-15
I100220,C122251,6,3,2021-05-26
I100223,C212702,3,1,2022-11-21
I100225,C128382,5,1,2022-10-12
I100227,C364271,3,3,2022-05-13
I100228,C248381,6,3,2023-02-21
I100229,C397160,6,2,2023-02-28
I100231,C274640,4,2,2021-07-19
I100240,C240922,8,1,2022-10-20
I100243,C332855,1,3,2023-01-12
I100249,C209647,1,1,2022-12-19
I100251,C228482,4,3,2022-05-29
I100261,C315632,6,1,2023-03-03
I100267,C299948,1,2,2022-12-11
I100271,C892772,3,2,2021-02-13
I100273,C291963,8,3,2021-05-10
I100281,C711548,1,2,2021-06-28
I100282,C836957,9,3,2022-07-30
I100284,C174674,1,1,2022-08-13
I100288,C435081,1,1,2022-02-13
I100290,C118172,6,1,2021-12-24
I100291,C832260,5,2,2021-08-03
I100292,C721616,6,3,2022-08-16
I100293,C991830,1,3,2022-11-28
I100294,C277127,5,3,2022-12-12
I100299,C179079,6,3,2022-09-30
I100301,C553904,6,1,2021-08-20
I100307,C887007,1,1,2022-01-24
I100308,C104593,6,3,2022-07-11
I100310,C183161,6,3,2022-04-22
I100311,C115462,10,3,2022-04-20
I100312,C280934,7,1,2022-10-29
I100313,C144410,3,3,2022-11-17
I100315,C242277,7,2,2021-08-04
I100316,C248553,8,3,2022-12-13
I100320,C152872,7,3,2022-10-10
I100321,C113910,2,1,2022-05-23
I100323,C107529,1,2,2022-05-19
I100324,C288166,4,2,2022-12-30
I100328,C152052,1,1,2022-04-22
I100330,C453598,3,1,2022-07-15
I100336,C202040,4,3,2022-08-01
I100338,C779694,9,3,2022-06-29
I100354,C135028,4,1,2021-08-24
I100355,C189409,1,3,2022-10-25
I100357,C494452,2,2,2021-05-02
I100358,C339237,3,3,2021-09-22
I100361,C224357,9,3,2021-06-29
I100364,C231500,10,2,2021-04-15
I100365,C624809,7,1,2021-05-19
I100366,C296054,8,2,2021-07-05
I100367,C268495,1,3,2021-11-22
I100368,C168429,1,1,2022-01-17
I100377,C272529,3,2,2021-12-23
I100381,C243648,2,3,2022-12-02
I100387,C234074,6,3,2021-05-16
I100397,C262466,2,2,2021-09-24
I100399,C250107,6,3,2022-02-01
I100400,C271625,3,1,2021-01-16
I100401,C291610,8,1,2023-03-06
I100404,C116794,6,1,2021-11-03
I100406,C146640,1,1,2021-06-16
I100408,C128638,1,3,2021-08-09
I100412,C313809,3,1,2022-09-18
I100414,C233655,6,2,2023-01-10
I100417,C310007,6,3,2022-07-17
I100419,C937473,6,1,2022-04-21
I100420,C261035,9,1,2021-07-06
I100423,C664680,3,2,2021-04-22
I100425,C386315,4,3,2021-08-29
I100426,C133701,5,3,2022-12-24
I100434,C295965,6,3,2021-07-14
I100439,C224698,4,1,2023-03-02
I100441,C202089,5,3,2022-09-09
I100443,C826051,5,2,2021-04-16
I100445,C307576,5,2,2021-11-02
I100454,C851133,5,2,2023-02-24
I100455,C191387,4,3,2022-09-04
I100458,C150447,3,1,2022-04-12
I100459,C194835,3,2,2021-09-18
I100462,C363980,4,3,2021-01-04
I100464,C129826,6,2,2021-05-01
I100465,C211946,6,3,2022-01-14
I100466,C235798,2,2,2021-09-30
I100470,C219411,5,1,2021-11-08
I100472,C176862,6,3,2021-09-01
I100473,C607315,6,2,2021-01-01
I100484,C135857,6,2,2021-01-26
I100487,C213360,1,3,2021-02-19
I100491,C212593,1,1,2021-03-29
I100494,C227575,3,2,2021-12-19
I100496,C174558,3,3,2021-11-26
I100498,C498727,8,3,2023-02-03
I100499,C114407,8,3,2021-05-09
I100501,C338282,3,2,2021-08-31
I100502,C238358,6,1,2021-10-10
I100504,C703075,6,3,2021-03-31
I100508,C249896,9,2,2021-03-24
I100512,C208841,1,2,2022-04-13
I100519,C233898,1,1,2021-01-25
I100522,C100218,1,3,2021-11-06
I100526,C356129,6,2,2022-08-17
I100527,C274542,3,3,2022-06-26
I100537,C392460,1,2,2022-04-05
I100538,C312561,5,3,2022-01-19
I100540,C641482,3,1,2022-06-14
I100541,C155234,5,3,2021-05-10
I100542,C273404,5,1,2021-06-05
I100543,C193964,6,3,2022-03-05
I100547,C173500,6,1,2021-08-07
I100550,C123577,8,3,2022-11-22
I100552,C213606,4,1,2021-11-09
I100555,C701082,1,3,2022-09-10
I100558,C209906,5,1,2021-05-25
I100561,C255643,8,2,2021-08-29
I100565,C833577,4,3,2022-09-17
I100566,C266257,3,3,2022-10-10
I100567,C272165,6,1,2021-01-03
I100571,C668914,10,2,2023-01-07
I100572,C245347,5,3,2021-07-30
I100578,C108143,10,3,2023-02-28
I100579,C260481,1,1,2022-09-24
I100580,C131158,8,3,2022-09-14
I100582,C638859,5,3,2021-11-02
I100586,C580838,5,1,2022-03-18
I100591,C881158,3,1,2022-02-20
I100593,C240318,6,3,2021-06-11
I100599,C114161,6,1,2021-11-24
I100601,C180415,6,3,2022-06-09
I100607,C315778,1,2,2021-11-27
I100610,C122598,6,2,2022-04-06
I100611,C234086,4,3,2022-03-21
I100614,C261517,8,3,2021-07-11
I100615,C197426,6,3,2022-05-12
I100617,C745941,10,3,2022-07-06
I100618,C911820,3,1,2021-03-04
I100622,C306817,1,1,2023-01-18
I100624,C552809,3,2,2021-03-05
I100627,C132581,3,2,2022-12-10
I100628,C135129,9,3,2022-04-09
I100630,C753708,1,2,2022-04-02
I100634,C461631,1,3,2022-05-23
I100635,C289537,4,2,2021-06-03
I100639,C231484,3,1,2022-05-02
I100651,C180588,4,1,2021-09-15
I100652,C214732,8,1,2023-01-17
I100656,C337441,4,3,2023-02-18
I100659,C562791,7,3,2021-07-14
I100663,C322131,6,3,2021-09-26
I100664,C603641,6,2,2021-10-19
I100666,C996052,3,3,2022-04-02
I100671,C284324,3,3,2021-05-03
I100682,C134970,5,3,2021-03-22
I100684,C175424,7,1,2021-08-11
I100685,C263059,2,2,2021-05-24
I100691,C116434,9,3,2022-04-26
I100694,C318405,1,3,2022-11-27
I100696,C131827,3,3,2021-07-12
I100697,C159194,1,3,2021-12-19
I100699,C844692,6,1,2021-03-07
I100700,C831975,9,1,2021-10-24
I100703,C263996,3,3,2022-08-08
I100704,C864065,6,2,2021-04-30
I100709,C156430,6,2,2021-08-18
I100719,C193403,10,3,2022-07-17
I100721,C993556,1,2,2022-05-02
I100723,C150582,6,2,2021-02-08
I100731,C868764,7,2,2022-12-29
I100733,C932952,1,3,2022-02-28
I100735,C107829,4,2,2022-02-02
I100738,C155129,1,2,2022-03-31
I100741,C828874,8,2,2021-01-05
I100742,C422142,4,1,2022-04-05
I100744,C146601,1,3,2022-03-31
I100749,C272878,3,3,2021-03-04
I100756,C771102,6,3,2023-02-17
I100760,C800785,6,1,2021-01-19
I100762,C183883,10,2,2023-01-11
I100763,C264447,8,3,2022-07-10
I100764,C564073,5,1,2023-02-07
I100768,C223065,1,3,2022-05-28
I100770,C140792,4,1,2021-04-10
I100771,C235228,5,1,2022-03-07
I100775,C981100,4,3,2021-04-02
I100777,C303252,1,1,2021-10-29
I100780,C191396,6,1,2021-04-06
I100782,C582964,10,2,2022-03-11
I100791,C289735,4,3,2021-10-11
I100793,C328805,5,3,2021-03-15
I100795,C232822,1,2,2022-07-06
I100797,C224221,4,1,2021-10-17
I100803,C273636,6,3,2023-02-24
I100812,C208761,4,1,2022-03-24
I100813,C250804,7,3,2022-03-18
I100814,C130818,6,1,2022-08-12
I100815,C222582,1,3,2022-04-19
I100818,C151068,6,3,2021-01-08
I100820,C180870,3,3,2021-12-26
I100822,C336505,10,3,2021-11-15
I100829,C115788,5,1,2021-07-30
I100835,C259176,9,2,2022-08-27
I100837,C827434,8,3,2023-01-12
I100842,C143467,2,1,2021-06-08
I100843,C170564,4,2,2022-01-17
I100851,C256797,5,1,2022-09-10
I100855,C125109,7,1,2021-06-25
I100856,C475330,4,3,2022-06-09
I100861,C281937,9,3,2022-12-24
I100863,C302400,7,3,2023-01-04
I100865,C234663,5,3,2022-02-10
I100866,C265260,3,3,2021-08-16
I100870,C236060,3,3,2023-03-02
I100875,C232349,6,3,2021-09-02
I100880,C217725,4,3,2021-01-13
I100881,C332806,1,2,2021-05-06
I100884,C729531,3,3,2023-02-15
I100885,C102033,6,3,2021-09-01
I100886,C676444,3,3,2021-12-19
I100897,C402407,1,1,2022-10-05
I100899,C256232,1,3,2022-06-23
I100900,C221280,9,3,2021-08-22
I100901,C178198,1,2,2022-06-17
I100903,C702152,3,2,2021-12-20
I100904,C138573,1,2,2022-12-23
I100911,C330379,3,1,2021-08-29
I100913,C229817,9,3,2022-08-26
I100914,C299493,1,1,2022-09-17
I100919,C189282,1,1,2021-05-04
I100921,C323178,3,1,2021-08-25
I100922,C185007,6,3,2021-12-19
I100923,C139812,5,1,2022-04-08
I100929,C224506,6,1,2021-02-12
I100932,C204475,6,3,2022-10-28
I100936,C331442,6,2,2021-06-21
I100953,C250015,5,3,2022-02-25
I100960,C156642,1,3,2023-01-31
I100961,C157517,2,3,2022-04-27
I100963,C500323,8,2,2021-06-17
I100964,C253827,6,3,2021-07-19
I100965,C336119,7,3,2021-06-25
I100969,C242347,5,1,2021-06-09
I100977,C221903,3,2,2022-09-05
I100978,C172330,3,3,2022-06-18
I100981,C116368,4,1,2023-01-29
I100983,C203462,10,1,2022-05-29
I100988,C202289,5,3,2022-09-27
I100991,C326660,4,2,2021-03-07
I100998,C253884,1,2,2021-09-10
I101008,C314812,5,3,2022-04-09
I101010,C766878,7,2,2022-03-07
I101017,C124932,6,3,2022-07-24
I101018,C266367,2,2,2022-12-20
I101022,C237146,1,1,2021-09-21
I101031,C215753,4,1,2021-11-18
I101034,C722304,3,3,2022-02-26
I101037,C216533,2,3,2021-09-07
I101038,C144914,8,2,2021-07-02
I101043,C289681,8,1,2022-12-01
I101048,C186345,3,3,2022-09-06
I101051,C722098,6,1,2021-06-13
I101052,C844541,1,2,2022-06-25
I101059,C236719,6,3,2021-08-25
I101060,C131806,3,1,2021-11-16
I101070,C330130,1,1,2022-04-21
I101083,C165321,1,2,2021-02-04
I101084,C943266,1,3,2022-10-18
I101086,C168165,1,2,2022-02-12
I101088,C824542,1,2,2021-01-01
I101089,C392188,6,1,2021-05-06
I101093,C301696,6,3,2021-07-05
I101103,C194266,2,3,2021-10-06
I101113,C315161,2,3,2021-04-12
I101115,C540954,3,1,2021-08-01
I101130,C298295,1,3,2022-09-10
I101131,C329519,4,1,2022-08-22
I101133,C270664,1,3,2022-01-22
I101135,C689947,1,1,2021-01-13
I101140,C122069,2,1,2022-07-26
I101143,C293655,6,2,2022-02-25
I101146,C303865,9,1,2022-12-25
I101148,C680169,8,3,2022-04-21
I101152,C276049,1,3,2021-11-12
I101154,C453116,3,1,2021-07-05
I101155,C114131,4,3,2022-06-08
I101156,C251408,10,3,2021-12-07
I101165,C325003,1,2,2022-08-21
I101167,C492992,5,1,2022-01-31
I101171,C786797,6,3,2021-09-23
I101176,C195529,5,3,2021-06-17
I101181,C167199,5,3,2022-12-22
I101183,C274709,4,2,2022-03-10
I101185,C269338,5,1,2022-05-20
I101189,C301407,3,3,2022-05-11
I101190,C115198,5,1,2021-04-02
I101192,C298571,2,3,2021-11-15
I101193,C298074,9,1,2021-05-04
I101201,C296680,2,1,2022-06-20
I101204,C147656,6,3,2022-08-06
I101210,C316485,10,1,2022-07-04
I101214,C229296,9,1,2021-03-11
I101219,C296170,1,1,2022-04-30
I101220,C322664,4,3,2022-10-06
I101229,C256902,1,3,2022-07-05
I101237,C239679,6,1,2021-02-10
I101239,C362001,3,1,2021-03-14
I101247,C178321,6,1,2021-02-25
I101252,C998123,2,1,2021-01-21
I101255,C164171,8,3,2021-12-11
I101256,C129775,6,1,2022-06-26
I101263,C268120,6,1,2022-12-12
I101279,C237894,4,3,2022-06-22
I101280,C663744,6,1,2022-03-26
I101281,C177781,7,2,2022-03-02
I101282,C317379,9,3,2022-06-30
I101283,C294350,3,1,2022-06-19
I101288,C476777,1,3,2022-07-24
I101290,C208569,6,1,2023-02-13
I101296,C132787,5,2,2023-01-14
I101301,C211329,1,1,2022-12-12
I101305,C131548,2,3,2022-03-07
I101306,C162468,1,2,2022-05-21
I101308,C551127,6,1,2021-03-12
I101312,C261678,6,3,2021-09-29
I101313,C463777,1,1,2021-02-09
I101314,C995203,1,3,2022-05-01
I101316,C100544,3,2,2022-06-24
I101318,C156439,3,2,2021-03-06
I101320,C264902,6,3,2022-04-12
I101325,C101956,6,3,2021-02-25
I101328,C468550,9,3,2022-07-24
I101339,C162091,2,1,2021-04-21
I101343,C180911,9,2,2021-06-02
I101344,C107378,1,1,2022-09-05
I101347,C280063,1,1,2021-09-26
I101348,C126235,6,1,2022-08-31
I101351,C726291,9,3,2021-06-10
I101352,C548721,4,3,2021-01-22
I101353,C246402,5,2,2022-03-25
I101354,C235189,7,2,2022-09-12
I101356,C227436,3,3,2022-03-23
I101359,C269676,4,3,2021-12-08
I101360,C540352,6,1,2021-07-11
I101361,C184579,5,3,2021-05-29
I101363,C182070,3,1,2022-11-26
I101366,C927671,1,1,2021-10-19
I101368,C236364,5,1,2021-02-07
I101370,C313925,1,1,2021-10-22
I101372,C180019,2,1,2021-06-05
I101378,C241757,3,3,2021-12-30
I101379,C275478,1,3,2023-01-16
I101383,C151482,3,1,2022-04-25
I101390,C314514,6,3,2021-09-08
I101393,C109321,1,2,2022-07-31
I101394,C321439,4,3,2022-06-07
I101398,C152504,6,1,2022-09-14
I101407,C323409,9,3,2022-07-16
I101409,C431191,1,2,2022-11-10
I101410,C177708,5,3,2022-06-13
I101414,C104129,3,3,2021-08-12
I101418,C127683,7,1,2021-02-27
I101419,C502529,5,1,2021-03-11
I101423,C666388,9,3,2023-02-03
I101426,C262766,1,3,2021-04-29
I101428,C197332,6,2,2021-07-08
I101429,C148693,6,1,2021-04-17
I101433,C208860,6,1,2022-08-10
I101434,C310631,6,3,2021-11-29
I101435,C245633,4,1,2022-08-04
I101442,C837574,6,1,2021-09-05
I101444,C335486,7,2,2021-12-17
I101445,C171342,1,1,2022-05-02
I101449,C220137,3,1,2021-12-05
I101452,C231594,7,1,2021-10-15
I101453,C666613,1,2,2021-04-09
I101454,C118691,5,3,2022-04-20
I101455,C154531,1,3,2022-02-28
I101456,C283434,1,1,2022-12-26
I101458,C113888,3,3,2022-07-21
I101460,C247762,10,3,2022-01-11
I101465,C250819,3,1,2021-06-16
I101466,C314331,7,3,2022-09-29
I101467,C155383,4,3,2022-07-04
I101472,C216194,3,3,2021-07-06
I101475,C204569,1,1,2021-08-04
I101476,C295108,5,3,2022-05-06
I101480,C145217,3,1,2023-01-15
I101483,C670088,9,3,2022-01-14
I101489,C287411,10,1,2022-03-14
I101498,C431849,6,2,2021-08-30
I101499,C208394,1,3,2022-06-16
I101509,C416542,5,3,2022-04-23
I101511,C286261,1,1,2021-10-06
I101512,C657278,1,3,2021-07-30
I101518,C107937,6,3,2022-04-09
I101520,C260507,1,2,2021-03-12
I101521,C234258,2,2,2022-03-28
I101525,C616099,10,3,2021-10-22
I101526,C332894,2,3,2022-08-18
I101528,C149902,10,3,2022-05-19
I101529,C203227,3,2,2021-01-17
I101532,C128002,8,3,2022-07-01
I101535,C219503,5,1,2023-03-01
I101536,C323102,7,1,2022-12-07
I101537,C168070,8,1,2021-11-06
I101541,C210572,5,2,2021-12-13
I101544,C208879,3,1,2021-02-13
I101546,C121708,3,1,2023-02-18
I101549,C311614,10,2,2021-07-20
I101551,C164448,3,2,2021-12-27
I101554,C273482,7,3,2021-08-01
I101555,C758873,1,2,2022-06-05
I101569,C148240,7,1,2022-07-14
I101572,C210353,4,3,2022-11-06
I101573,C150669,8,3,2022-07-28
I101574,C178897,1,1,2023-02-02
I101576,C262719,1,2,2021-08-12
I101578,C302346,3,3,2023-03-04
I101580,C266174,1,2,2021-04-03
I101585,C157226,6,1,2022-09-26
I101587,C434876,4,3,2022-01-11
I101588,C769285,1,3,2021-05-17
I101592,C228966,1,1,2021-10-25
I101594,C117752,8,3,2021-08-08
I101596,C309263,1,3,2021-08-30
I101598,C338372,3,1,2021-07-30
I101603,C309591,1,3,2021-10-05
I101605,C756859,6,3,2023-01-25
I101606,C279630,6,3,2021-11-28
I101612,C185174,3,1,2022-12-28
I101618,C203219,1,3,2021-01-10
I101620,C104200,1,2,2021-08-12
I101621,C325188,1,3,2022-03-19
I101624,C115743,1,3,2021-10-15
I101627,C144374,10,2,2022-08-26
I101629,C102585,6,3,2021-09-25
I101634,C318714,3,2,2022-03-11
I101635,C695700,2,3,2022-06-03
I101638,C217867,3,3,2022-07-22
I101641,C483550,8,1,2021-12-06
I101642,C296856,6,2,2021-10-22
I101645,C683241,3,1,2022-11-10
I101649,C801987,4,3,2021-11-12
I101653,C185129,1,3,2021-04-10
I101658,C254846,6,1,2021-09-18
I101659,C197249,9,3,2022-11-29
I101661,C156543,7,3,2022-08-06
I101667,C142998,3,1,2022-09-14
I101669,C308898,9,1,2022-08-01
I101670,C584201,4,3,2021-02-02
I101672,C976493,3,1,2021-01-23
I101674,C284838,9,1,2021-06-12
I101675,C302289,3,2,2022-10-06
I101676,C179567,1,3,2023-02-10
I101677,C518156,8,1,2021-01-23
I101682,C201671,8,3,2022-12-07
I101684,C280909,6,1,2022-08-28
I101686,C520399,5,2,2021-12-03
I101691,C322262,6,3,2021-03-05
I101700,C156564,5,1,2022-03-04
I101703,C113813,6,1,2022-11-01
I101704,C568729,1,1,2021-05-10
I101708,C103055,3,3,2021-05-25
I101709,C800815,6,2,2021-09-02
I101711,C354279,4,1,2021-06-18
I101714,C273113,6,3,2022-10-11
I101716,C254712,5,2,2021-11-04
I101717,C143132,1,3,2021-12-03
I101720,C105307,3,3,2022-03-29
I101724,C331264,3,3,2022-03-16
I101727,C145580,8,3,2022-05-04
I101728,C183537,6,3,2021-11-07
I101730,C378627,1,1,2021-12-19
I101731,C125296,6,3,2023-01-23
I101734,C150574,4,1,2021-09-08
I101739,C152510,1,2,2021-02-04
I101740,C136633,5,2,2021-11-12
I101741,C319933,6,1,2021-07-21
I101742,C123907,6,1,2021-01-17
I101743,C158928,3,3,2022-03-31
I101745,C105559,8,3,2021-04-05
I101752,C116715,4,3,2021-05-16
I101753,C336142,5,1,2021-04-25
I101754,C125307,1,2,2021-09-24
I101755,C333796,3,2,2021-02-19
I101765,C280567,1,1,2021-08-07
I101767,C181289,4,1,2022-10-22
I101768,C249684,6,1,2022-01-24
I101769,C306686,9,2,2022-04-18
I101775,C867251,6,1,2023-02-14
I101779,C114592,6,2,2022-03-14
I101782,C221270,6,1,2021-06-22
I101785,C279161,1,2,2022-07-13
I101790,C310170,1,1,2021-09-06
I101795,C207950,3,2,2023-01-25
I101799,C789602,9,1,2022-05-18
I101806,C322425,6,1,2022-01-05
I101809,C148190,6,3,2021-11-10
I101810,C259949,7,1,2021-07-05
I101819,C787263,4,3,2022-06-17
I101820,C324317,7,3,2021-08-14
I101822,C178709,5,2,2022-07-04
I101823,C121785,7,1,2021-06-22
I101827,C150375,1,3,2022-11-11
I101829,C207614,5,1,2021-11-25
I101832,C261194,1,1,2022-12-25
I101834,C407525,5,3,2021-04-23
I101837,C288430,3,1,2022-05-14
I101840,C128251,1,1,2022-03-28
I101842,C158131,4,1,2021-04-27
I101843,C300621,1,3,2023-01-18
I101852,C224985,6,2,2023-03-04
I101854,C190002,6,3,2022-10-14
I101855,C120734,2,3,2023-02-18
I101857,C227245,4,3,2022-04-29
I101862,C352919,9,1,2022-12-02
I101865,C248634,6,3,2023-01-15
I101869,C578801,6,3,2023-01-25
I101870,C350587,4,3,2021-03-24
I101871,C233682,1,3,2023-01-22
I101873,C844870,7,1,2021-12-14
I101879,C419320,1,1,2021-06-18
I101882,C225381,10,3,2022-06-10
I101885,C199456,2,1,2021-04-18
I101887,C169919,3,3,2021-08-16
I101888,C216076,4,3,2021-02-22
I101889,C121577,4,3,2022-02-17
I101891,C180405,8,2,2022-09-20
I101893,C586871,9,1,2022-04-12
I101896,C113243,1,1,2022-03-27
I101901,C241557,5,3,2021-04-27
I101902,C195949,6,1,2021-04-05
I101904,C106038,1,1,2021-02-22
I101905,C147666,1,3,2021-02-24
I101906,C306258,3,1,2022-05-29
I101910,C304301,9,3,2022-03-29
I101912,C499795,10,2,2022-07-29
I101915,C112646,1,1,2022-09-22
I101919,C209103,4,1,2021-10-20
I101920,C208660,8,2,2021-10-26
I101921,C243839,7,1,2023-02-16
I101925,C329689,6,2,2023-02-03
I101927,C156809,6,1,2021-06-15
I101934,C153128,7,2,2021-12-31
I101940,C283119,5,3,2022-12-25
I101953,C316666,3,3,2021-02-16
I101967,C218507,5,3,2023-02-25
I101968,C134978,3,1,2023-01-24
I101972,C182834,3,1,2022-02-03
I101974,C184510,6,1,2021-11-11
I101975,C208782,1,3,2022-01-07
I101978,C188650,6,2,2022-08-14
I101979,C109876,6,3,2023-02-22
I101982,C116333,7,3,2021-02-01
I101983,C889640,10,1,2021-09-16
I101984,C117381,3,1,2022-10-01
I101989,C269810,10,1,2021-03-28
I101993,C158626,10,3,2021-10-02
I101996,C157238,1,3,2021-06-15
I102001,C167373,1,2,2021-05-24
I102006,C133645,1,2,2021-01-07
I102008,C171022,2,2,2023-02-15
I102009,C146739,2,3,2021-11-13
I102014,C158673,4,3,2021-02-26
I102015,C127328,9,3,2022-01-23
I102020,C244182,1,2,2022-08-10
I102021,C178086,2,3,2022-04-07
I102024,C132062,1,1,2022-11-10
I102025,C119370,2,1,2022-09-14
I102031,C208014,1,3,2022-09-06
I102037,C523688,3,3,2022-10-21
I102038,C227579,8,3,2021-05-19
I102040,C184203,5,3,2021-07-20
I102041,C846159,6,3,2021-08-21
I102042,C539103,1,1,2021-08-01
I102045,C105667,4,1,2021-05-22
I102047,C203711,4,1,2021-06-01
I102048,C597678,6,2,2021-08-05
I102049,C282234,4,3,2022-02-17
I102051,C283917,6,1,2022-07-26
I102053,C318494,6,3,2021-05-13
I102054,C948047,9,1,2022-05-07
I102058,C245703,6,2,2022-04-27
I102059,C297169,8,3,2022-12-13
I102061,C181574,1,1,2022-03-11
I102065,C799164,4,2,2022-04-23
I102068,C317485,3,3,2021-07-07
I102069,C273829,9,3,2022-01-25
I102070,C205475,2,3,2021-04-20
I102072,C283005,1,1,2022-10-05
I102075,C127805,3,3,2021-07-30
I102082,C402987,3,1,2022-06-20
I102084,C339822,3,3,2022-02-19
I102088,C184837,4,3,2021-05-08
I102091,C190233,5,2,2022-03-15
I102092,C172569,9,3,2022-11-16
I102100,C252261,1,2,2022-03-31
I102101,C270792,1,2,2022-07-21
I102102,C628484,5,1,2022-06-11
I102107,C294500,6,2,2022-09-06
I102108,C316403,10,1,2021-06-25
I102112,C308314,3,1,2021-12-25
I102115,C629211,3,2,2023-02-02
I102118,C336690,1,3,2023-02-10
I102119,C299453,2,1,2022-05-20
I102120,C207445,2,2,2022-08-14
I102128,C183134,3,1,2022-08-04
I102131,C330136,10,2,2022-04-12
I102133,C121237,1,1,2022-01-10
I102141,C329384,6,2,2022-02-28
I102142,C234980,5,2,2022-12-24
I102143,C163307,1,1,2022-01-19
I102144,C317414,6,3,2021-12-07
I102148,C127692,3,1,2022-01-15
I102149,C253677,6,2,2022-03-22
I102150,C336009,1,2,2022-10-23
I102151,C460226,1,3,2022-11-29
I102157,C204532,6,2,2022-09-28
I102159,C115523,10,3,2022-06-02
I102162,C274417,4,1,2023-02-12
I102166,C763155,1,3,2022-08-06
I102167,C283282,8,1,2021-06-10
I102171,C170678,8,2,2022-01-15
I102173,C222171,7,2,2021-03-22
I102175,C287261,3,3,2021-09-02
I102178,C123925,5,2,2021-11-17
I102182,C153009,4,1,2021-01-05
I102184,C868347,5,3,2022-04-21
I102188,C306087,3,1,2023-02-11
I102189,C135789,6,3,2022-09-14
I102191,C211798,1,3,2022-10-17
I102193,C327121,4,1,2022-01-08
I102194,C328882,6,2,2021-10-27
I102195,C242866,1,1,2021-02-21
I102199,C219898,1,1,2021-12-01
I102200,C242359,4,1,2021-01-25
I102201,C140670,6,2,2023-01-04
I102202,C174973,4,1,2022-07-03
I102205,C688295,1,1,2022-07-10
I102218,C335848,3,1,2022-08-23
I102221,C301581,1,3,2022-11-07
I102222,C171465,1,2,2021-09-27
I102223,C339595,6,3,2022-01-31
I102224,C156712,7,1,2022-01-28
I102225,C890104,3,1,2022-01-12
I102229,C194316,1,1,2021-04-01
I102232,C282538,6,1,2022-12-03
I102233,C284826,2,1,2021-04-25
I102234,C237184,4,3,2021-09-26
I102237,C106693,6,1,2022-07-29
I102240,C281387,1,1,2021-06-22
I102241,C218554,4,2,2021-09-16
I102244,C210214,9,1,2022-08-08
I102250,C282314,6,3,2021-03-24
I102254,C830416,1,1,2022-02-05
I102256,C263791,10,3,2021-12-08
I102258,C306120,8,1,2021-07-31
I102260,C203685,4,3,2021-11-11
I102261,C817162,5,3,2022-06-18
I102264,C221936,5,1,2021-01-22
I102268,C298559,10,3,2022-01-31
I102276,C137086,5,2,2022-03-30
I102278,C190867,1,3,2022-05-31
I102279,C192527,3,3,2022-04-06
