customer_id,gender,age
C101061,Male,57
C101064,Female,66
C101067,Male,30
C101068,Male,52
C101069,Female,18
C101071,Male,19
C101072,Female,65
C101074,Female,53
C101078,Female,57
C101079,Female,20
C101080,Male,34
C101082,Male,25
C101084,Male,60
C101089,Female,26
C101095,Female,45
C101097,Female,18
C101099,Female,23
C101100,Female,25
C101108,Female,66
C101115,Male,21
C101116,Male,47
C101117,Female,52
C101119,Male,43
C101120,Male,68
C101125,Male,38
C101131,Female,54
C101132,Male,36
C101133,Female,46
C101134,Male,51
C101135,Male,44
C101136,Male,30
C101137,Female,22
C101138,Female,24
C101143,Male,46
C101154,Female,39
C101173,Female,52
C101188,Female,20
C101196,Female,41
C101204,Female,47
C101205,Female,60
C101206,Male,47
C101208,Female,44
C101209,Female,46
C101210,Female,44
C101212,Male,35
C101216,Male,68
C101217,Female,41
C101220,Female,24
C101221,Male,39
C101222,Female,62
C101225,Female,38
C101227,Female,30
C101229,Female,61
C101235,Female,46
C101236,Male,66
C101238,Female,22
C101248,Female,19
C101249,Female,60
C101250,Female,40
C101251,Male,49
C101253,Female,53
C101259,Female,60
C101261,Female,31
C101271,Female,37
C101278,Female,59
C101285,Female,37
C101287,Male,64
C101288,Female,50
C101290,Male,47
C101294,Female,28
C101295,Male,31
C101301,Female,65
C101303,Female,31
C101307,Female,25
C101308,Female,37
C101314,Female,31
C101316,Male,24
C101318,Male,36
C101320,Female,27
C101327,Male,52
C101329,Female,36
C101337,Female,49
C101343,Female,49
C101344,Female,31
C101347,Male,37
C101351,Female,56
C101356,Female,32
C101359,Female,42
C101362,Female,30
C101363,Male,64
C101364,Female,61
C101365,Female,35
C101367,Female,18
C101368,Female,68
C101370,Male,21
C101375,Male,48
C101377,Male,27
C101382,Female,53
C101384,Male,19
C101386,Female,18
C101391,Female,49
C101393,Male,60
C101397,Female,25
C101401,Male,30
C101404,Female,54
C101405,Female,20
C101406,Female,41
C101407,Male,48
C101410,Female,32
C101411,Female,24
C101412,Female,30
C101413,Male,40
C101414,Male,59
C101419,Female,45
C101420,Male,31
C101422,Male,18
C101423,Female,35
C101425,Female,30
C101427,Male,32
C101428,Female,22
C101429,Female,46
C101432,Male,30
C101433,Female,40
C101438,Female,54
C101451,Male,54
C101452,Female,31
C101466,Female,46
C101471,Female,44
C101472,Female,57
C101475,Female,53
C101478,Male,19
C101482,Male,23
C101484,Male,42
C101489,Male,60
C101494,Female,69
C101503,Female,24
C101508,Female,60
C101509,Female,23
C101518,Female,52
C101521,Female,69
C101522,Female,55
C101523,Male,60
C101525,Female,53
C101526,Female,33
C101527,Male,67
C101529,Male,49
C101531,Female,62
C101537,Female,46
C101541,Male,53
C101543,Female,69
C101545,Female,58
C101546,Female,42
C101550,Male,35
C101556,Female,47
C101558,Male,35
C101559,Male,63
C101560,Female,20
C101561,Male,49
C101564,Female,40
C101566,Female,62
C101568,Female,23
C101575,Female,68
C101576,Male,41
C101579,Male,59
C101580,Male,48
C101584,Female,36
C101594,Male,67
C101595,Female,22
C101600,Female,39
C101605,Male,39
C101610,Female,65
C101612,Female,37
C101618,Female,49
C101624,Male,57
C101629,Female,20
C101633,Male,25
C101640,Female,46
C101643,Female,37
C101646,Male,68
C101647,Female,47
C101651,Female,50
C101652,Female,41
C101654,Female,28
C101655,Female,50
C101656,Male,21
C101657,Female,64
C101662,Female,46
C101663,Female,41
C101666,Female,50
C101667,Female,23
C101669,Male,61
C101672,Female,27
C101673,Female,40
C101689,Male,57
C101690,Female,68
C101691,Female,44
C101693,Male,23
C101694,Female,51
C101695,Female,18
C101697,Male,54
C101709,Male,68
C101710,Female,33
C101711,Male,31
C101716,Female,26
C101723,Male,24
C101725,Male,61
C101726,Male,59
C101733,Male,44
C101737,Male,26
C101742,Male,20
C101743,Female,35
C101744,Male,62
C101746,Female,66
C101747,Female,47
C101751,Male,32
C101755,Female,56
C101756,Male,24
C101757,Female,58
C101758,Male,21
C101764,Male,66
C101767,Male,40
C101768,Female,63
C101770,Female,64
C101771,Female,48
C101773,Male,54
C101775,Female,49
C101776,Female,56
C101779,Male,27
C101781,Female,26
C101786,Female,59
C101788,Female,66
C101790,Female,65
C101791,Male,37
C101793,Female,52
C101803,Male,33
C101806,Female,31
C101810,Female,45
C101817,Male,45
C101818,Female,56
C101820,Male,28
C101822,Female,54
C101824,Female,22
C101833,Male,69
C101835,Male,29
C101839,Male,49
C101843,Female,18
C101845,Female,28
C101852,Female,55
C101853,Male,38
C101855,Male,52
C101856,Female,38
C101863,Female,68
C101866,Male,66
C101871,Male,22
C101875,Female,57
C101878,Male,39
C101882,Female,67
C101883,Female,37
C101885,Female,41
C101886,Female,45
C101893,Male,56
C101897,Female,60
C101898,Female,57
C101904,Female,38
C101908,Female,41
C101912,Female,59
C101917,Male,32
C101919,Female,56
C101921,Female,62
C101924,Female,29
C101926,Female,47
C101929,Female,21
C101932,Female,27
C101939,Female,52
C101941,Male,38
C101946,Male,30
C101947,Male,40
C101949,Male,44
C101953,Female,46
C101956,Female,27
C101957,Female,34
C101958,Female,18
C101961,Female,37
C101965,Female,58
C101967,Female,19
C101970,Female,67
C101989,Female,63
C101991,Female,66
C101995,Female,24
C101996,Male,55
C102001,Female,37
C102005,Female,63
C102006,Male,64
C102007,Female,30
C102008,Male,50
C102009,Female,56
C102010,Male,31
C102015,Male,66
C102021,Female,36
C102024,Female,46
C102029,Female,29
C102030,Male,60
C102033,Male,38
C102037,Female,37
C102043,Female,27
C102047,Female,38
C102058,Male,28
C102060,Male,68
C102061,Male,48
C102062,Female,57
C102063,Female,60
C102064,Male,43
C102069,Female,21
C102084,Female,55
C102085,Male,20
C102097,Male,65
C102098,Female,19
C102100,Female,55
C102101,Female,39
C102102,Female,32
C102103,Female,56
C102104,Male,30
C102106,Female,33
C102108,Female,25
C102113,Female,36
C102114,Male,20
C102117,Male,30
C102123,Female,25
C102125,Male,22
C102127,Female,33
C102130,Female,53
C102131,Female,39
C102134,Male,38
C102136,Female,60
C102137,Male,63
C102138,Female,38
C102139,Female,26
C102146,Female,68
C102151,Female,42
C102154,Male,30
C102156,Male,31
C102158,Female,31
C102159,Female,41
C102162,Female,37
C102163,Female,18
C102164,Female,56
C102168,Male,22
C102174,Male,58
C102175,Male,43
C102176,Female,43
C102179,Female,59
C102182,Female,55
C102193,Female,37
C102200,Female,67
C102203,Female,58
C102204,Male,63
C102212,Female,65
C102213,Male,69
C102217,Female,56
C102224,Male,41
C102226,Female,27
C102229,Male,61
C102230,Female,44
C102234,Male,30
C102238,Male,25
C102246,Male,27
C102247,Female,36
C102249,Male,26
C102250,Male,24
C102255,Female,69
C102259,Female,53
C102263,Male,26
C102265,Female,52
C102266,Female,36
C102271,Female,55
C102272,Male,38
C102275,Male,41
C102277,Female,32
C102280,Female,34
C102282,Male,18
C102283,Male,31
C102285,Female,56
C102286,Male,68
C102287,Female,28
C102289,Male,65
C102293,Male,67
C102294,Male,32
C102297,Male,68
C102300,Male,59
C102301,Male,25
C102302,Male,25
C102303,Female,60
C102305,Male,29
C102312,Female,69
C102313,Male,22
C102318,Male,64
C102319,Male,26
C102324,Female,32
C102327,Male,39
C102328,Female,42
C102332,Female,39
C102341,Female,53
C102342,Male,30
C102344,Male,49
C102346,Male,50
C102353,Female,69
C102354,Male,22
C102355,Female,50
C102357,Female,23
C102358,Male,43
C102359,Male,57
C102366,Male,56
C102369,Male,52
C102371,Female,62
C102372,Male,32
C102375,Male,68
C102381,Male,27
C102383,Female,30
C102398,Male,39
C102403,Female,56
C102404,Female,52
C102405,Female,42
C102406,Male,30
C102408,Female,27
C102409,Male,20
C102410,Male,30
C102416,Male,63
C102420,Male,41
C102425,Female,68
C102426,Male,34
C102429,Male,40
C102433,Female,49
C102441,Male,49
C102447,Male,26
C102449,Male,22
C102454,Female,42
C102455,Female,19
C102456,Male,47
C102459,Female,32
C102460,Male,50
C102461,Male,62
C102467,Female,33
C102468,Female,37
C102474,Female,64
C102477,Female,42
C102478,Male,67
C102488,Female,43
C102489,Male,25
C102492,Female,44
C102495,Male,55
C102500,Male,41
C102503,Female,49
C102506,Female,44
C102508,Female,62
C102510,Male,60
C102511,Female,32
C102513,Male,58
C102515,Female,28
C102522,Female,22
C102524,Female,50
C102527,Female,20
C102529,Female,61
C102531,Female,49
C102535,Female,37
C102540,Female,55
C102542,Female,40
C102543,Female,29
C102544,Female,49
C102547,Female,26
C102548,Male,64
C102550,Female,30
C102554,Male,35
C102558,Female,62
C102559,Female,61
C102560,Female,54
C102565,Male,35
C102566,Female,40
C102567,Male,29
C102571,Female,68
C102575,Female,48
C102584,Female,66
C102585,Male,41
C102587,Female,19
C102588,Male,42
C102590,Female,49
C102592,Female,26
C102596,Female,32
C102597,Male,25
C102599,Female,22
C102600,Male,63
C102604,Male,63
C102606,Female,64
C102607,Male,38
C102615,Female,31
C102619,Female,19
C102621,Female,32
C102623,Female,21
C102625,Female,44
C102634,Female,66
C102638,Female,54
C102641,Female,30
C102642,Female,32
C102646,Female,56
C102647,Male,52
C102650,Male,33
C102652,Male,66
C102656,Male,19
C102664,Female,63
C102665,Female,61
C102667,Female,19
C102669,Male,57
C102672,Female,60
C102678,Female,51
C102679,Male,57
C102683,Female,57
C102684,Female,31
C102685,Female,26
C102688,Male,24
C102690,Female,26
C102692,Female,63
C102693,Male,19
C102696,Male,58
C102697,Female,46
C102707,Male,25
C102708,Female,54
C102709,Male,23
C102710,Female,44
C102713,Male,64
C102715,Female,60
C102717,Male,41
C102718,Female,51
C102719,Female,38
C102732,Male,58
C102733,Female,67
C102734,Female,58
C102746,Female,23
C102753,Female,63
C102760,Male,24
C102761,Male,47
C102764,Female,18
C102765,Female,43
C102767,Male,54
C102773,Female,46
C102774,Male,36
C102775,Male,33
C102776,Male,64
C102777,Female,44
C102778,Female,60
C102780,Male,53
C102783,Female,28
C102785,Female,34
C102787,Female,53
C102793,Male,44
C102798,Female,50
C102799,Male,34
C102803,Male,57
C102809,Male,69
C102812,Female,61
C102817,Female,25
C102827,Male,52
C102829,Female,18
C102832,Female,41
C102837,Female,55
C102839,Female,55
C102843,Female,27
C102846,Female,46
C102849,Female,40
C102854,Female,29
C102860,Male,42
C102865,Female,59
C102866,Female,49
C102868,Female,28
C102869,Female,36
C102871,Male,61
C102872,Male,21
C102873,Female,33
C102875,Female,37
C102876,Female,46
C102878,Female,35
C102884,Male,56
C102885,Male,30
C102891,Male,65
C102893,Female,45
C102905,Male,51
C102908,Male,44
C102909,Female,53
C102913,Male,20
C102920,Male,50
C102921,Male,38
C102922,Female,33
C102923,Female,34
C102926,Male,41
C102927,Female,42
C102931,Female,64
C102933,Female,18
C102935,Female,50
C102940,Female,59
C102942,Male,64
C102947,Male,57
C102948,Female,34
C102952,Female,61
C102956,Male,25
C102957,Female,62
C102966,Female,28
C102967,Female,62
C102970,Male,62
C102978,Female,26
C102986,Female,60
C102989,Female,42
C102990,Female,44
C102995,Female,30
C102996,Female,46
C103000,Male,27
C103003,Female,33
C103006,Male,31
C103011,Male,38
C103013,Female,28
C103014,Female,18
C103019,Female,50
C103021,Female,32
C103027,Male,46
C103029,Male,38
C103030,Female,21
C103031,Female,51
C103035,Female,40
C103042,Male,32
C103043,Male,42
C103044,Female,20
C103055,Male,55
C103057,Female,52
C103065,Female,61
C103072,Female,61
C103073,Male,61
C103076,Male,55
C103078,Female,45
C103080,Female,50
C103090,Female,65
C103091,Female,61
C103093,Male,20
C103106,Female,23
C103108,Male,62
C103114,Male,37
C103115,Female,29
C103120,Female,41
C103126,Male,23
C103138,Male,43
C103152,Male,47
C103153,Female,57
C103156,Male,58
C103164,Female,49
C103167,Female,23
C103169,Male,60
C103171,Female,35
C103174,Female,23
C103175,Female,23
C103178,Male,62
C103180,Female,36
C103181,Female,64
C103182,Female,55
C103185,Male,20
C103186,Male,24
C103188,Female,20
C103194,Female,36
C103200,Male,42
C103201,Female,18
C103206,Female,18
C103207,Male,24
C103210,Male,36
C103211,Female,26
C103213,Female,61
C103218,Male,46
C103219,Female,56
C103220,Male,21
C103221,Male,48
C103226,Male,37
C103227,Male,53
C103229,Female,51
C103233,Female,50
C103234,Male,32
C103240,Female,28
C103241,Female,21
C103242,Female,45
C103243,Male,46
C103245,Male,54
C103246,Male,47
C103248,Female,43
C103251,Female,25
C103257,Male,44
C103260,Female,65
C103261,Male,23
C103262,Female,65
C103263,Female,21
C103267,Female,48
C103268,Female,32
C103273,Female,37
C103276,Male,28
C103279,Female,38
C103287,Female,51
C103291,Female,63
C103292,Male,63
C103297,Female,58
C103298,Male,41
C103301,Male,33
C103303,Female,40
C103308,Male,64
C103309,Female,55
C103314,Male,42
C103315,Female,38
C103321,Male,25
C103323,Female,59
C103324,Female,54
C103325,Female,43
C103326,Female,47
C103327,Female,18
C103328,Female,67
C103329,Female,61
C103331,Female,23
C103332,Male,39
C103333,Male,21
C103336,Female,30
C103337,Male,56
C103341,Female,18
C103351,Female,56
C103354,Female,36
C103356,Female,46
C103359,Female,39
C103360,Female,64
C103361,Female,63
C103365,Male,39
C103385,Female,35
C103386,Male,27
C103388,Female,32
C103389,Female,43
C103393,Male,32
C103394,Female,46
C103395,Female,19
C103396,Female,68
C103397,Male,57
C103404,Female,67
C103405,Male,31
C103409,Female,50
C103414,Male,27
C103415,Male,56
C103418,Female,47
C103421,Female,45
C103423,Female,23
C103424,Female,52
C103428,Female,42
C103431,Male,25
C103434,Male,36
C103443,Male,50
C103445,Male,33
C103446,Male,34
C103447,Male,68
C103453,Male,46
C103455,Female,61
C103459,Female,46
C103460,Female,48
C103461,Female,29
C103463,Male,37
C103465,Male,38
C103466,Female,35
C103467,Male,51
C103471,Female,54
C103472,Male,34
C103477,Female,69
C103478,Male,37
C103479,Female,29
C103484,Male,51
C103492,Female,37
C103498,Male,26
C103500,Male,40
C103503,Male,40
C103508,Female,34
C103514,Male,29
C103515,Male,34
C103519,Female,33
C103521,Female,63
C103523,Female,48
C103525,Female,65
C103532,Female,38
C103535,Male,37
C103536,Female,37
C103539,Female,32
C103540,Female,53
C103541,Female,55
C103543,Female,22
C103545,Male,56
C103546,Male,58
C103549,Male,62
C103554,Male,64
C103555,Male,38
C103558,Female,50
C103560,Female,49
C103569,Female,60
C103572,Female,35
C103574,Male,67
C103576,Female,32
C103577,Female,42
C103578,Male,46
C103582,Female,38
C103583,Male,55
C103587,Female,65
C103592,Male,69
C103594,Male,32
C103595,Female,29
C103597,Female,36
C103598,Female,45
C103602,Male,19
C103603,Male,21
C103604,Male,23
C103609,Female,38
C103613,Female,19
C103616,Female,65
C103617,Male,28
C103620,Male,54
C103621,Female,52
C103632,Female,50
C103634,Female,28
C103638,Female,58
C103641,Male,66
C103645,Female,51
C103647,Male,20
C103649,Male,64
C103650,Female,33
C103651,Female,68
C103652,Female,28
C103653,Female,32
C103657,Female,26
C103661,Female,64
C103668,Male,54
C103669,Female,19
C103670,Female,61
C103671,Female,69
C103672,Male,54
C103676,Male,30
C103681,Female,28
C103691,Male,68
C103696,Female,67
C103700,Female,20
C103715,Male,47
C103716,Female,20
C103717,Female,62
C103718,Female,51
C103722,Female,66
C103725,Female,28
C103726,Female,34
C103727,Male,40
C103730,Female,26
C103734,Male,62
C103737,Female,59
C103741,Female,60
C103744,Female,20
C103750,Female,67
C103754,Male,55
C103755,Female,52
C103758,Male,23
C103763,Female,48
C103765,Female,55
C103768,Female,32
C103772,Male,29
C103773,Female,56
C103775,Female,20
C103776,Female,19
C103780,Female,19
C103781,Female,19
C103784,Female,45
C103787,Female,36
C103788,Female,35
C103792,Female,69
C103793,Male,48
C103795,Male,62
C103798,Female,65
C103802,Male,21
C103803,Female,29
C103807,Female,24
C103810,Female,59
C103814,Female,68
C103815,Female,39
C103819,Female,59
C103820,Female,58
C103821,Female,28
C103824,Male,34
C103825,Female,61
C103835,Male,66
C103837,Female,63
C103838,Male,52
C103840,Male,36
C103845,Male,55
C103849,Female,68
C103852,Female,66
C103857,Female,55
C103860,Female,19
C103863,Female,23
C103864,Female,62
C103869,Female,58
C103871,Male,48
C103872,Female,46
C103875,Female,61
C103877,Female,41
C103880,Male,61
C103886,Male,19
C103887,Female,30
C103888,Male,69
C103894,Male,45
C103896,Female,51
C103897,Male,63
C103899,Male,40
C103900,Male,56
C103903,Female,55
C103904,Male,25
C103909,Female,32
C103910,Male,35
C103913,Male,22
C103915,Female,42
C103917,Female,35
C103930,Male,61
C103933,Female,22
C103939,Female,64
C103944,Male,42
C103949,Male,67
C103951,Female,21
C103952,Female,46
C103959,Female,60
C103962,Female,64
C103964,Female,57
C103965,Female,61
C103966,Female,48
C103969,Female,52
C103972,Male,40
C103976,Male,55
C103977,Female,43
C103980,Male,57
C103982,Female,37
C103985,Female,22
C103992,Male,48
C103995,Female,39
C103996,Female,51
C103998,Female,58
C104002,Male,27
C104008,Female,29
C104011,Female,48
C104013,Female,68
C104014,Male,54
C104022,Female,48
C104027,Female,18
C104031,Female,31
C104032,Female,26
C104036,Female,58
C104039,Male,39
C104041,Male,25
C104048,Female,57
C104049,Male,27
C104052,Female,19
C104053,Female,39
C104054,Female,66
C104055,Female,25
C104057,Male,22
C104061,Male,41
C104063,Male,57
C104069,Female,49
C104072,Female,34
C104074,Female,40
C104078,Female,69
C104081,Female,23
C104082,Male,57
C104086,Female,18
C104088,Male,24
C104091,Female,49
C104092,Male,18
C104093,Female,66
C104097,Male,36
C104101,Female,39
C104103,Female,50
C104111,Female,41
C104112,Female,55
C104114,Female,68
C104116,Female,24
C104117,Female,52
C104118,Female,27
C104119,Female,40
C104123,Male,32
C104128,Male,21
C104129,Female,20
C104131,Male,34
C104136,Male,36
C104137,Female,38
C104139,Female,66
C104142,Male,69
C104143,Female,65
C104144,Male,66
C104147,Female,21
C104153,Female,36
C104163,Male,35
C104164,Male,23
C104165,Male,51
C104169,Female,20
C104172,Female,33
C104174,Female,51
C104180,Female,55
C104184,Female,54
C104187,Female,41
C104190,Male,38
C104194,Female,60
C104200,Female,69
C104204,Female,65
C104209,Female,59
C104211,Female,20
C104212,Female,19
C104213,Female,56
C104224,Male,68
C104226,Male,52
C104228,Female,28
C104230,Female,21
C104236,Female,50
C104237,Male,67
C104239,Male,33
C104241,Male,50
C104245,Female,57
C104247,Female,50
C104250,Male,28
C104254,Male,54
C104255,Female,47
C104257,Female,18
C104263,Female,30
C104264,Female,46
C104268,Male,28
C104271,Male,37
C104274,Male,43
C104279,Male,53
C104280,Male,58
C104285,Male,63
C104286,Male,57
C104294,Male,48
C104296,Male,67
C104300,Female,19
C104305,Male,53
C104306,Female,22
C104311,Female,23
C104314,Female,56
C104317,Male,33
C104318,Female,50
C104319,Female,34
C104320,Female,32
C104323,Female,61
C104325,Male,32
C104329,Male,32
C104331,Male,36
C104337,Female,41
C104339,Female,66
C104344,Female,54
C104347,Female,39
C104349,Male,31
C104350,Female,46
C104352,Female,35
C104355,Female,63
C104356,Female,28
C104357,Male,32
C104363,Female,58
C104366,Male,23
C104367,Female,48
C104370,Female,50
C104371,Male,56
C104373,Male,59
C104374,Female,20
C104380,Female,32
C104381,Female,64
C104382,Male,58
C104391,Female,51
C104393,Male,35
C104400,Female,21
C104402,Female,69
C104404,Male,37
C104407,Male,37
C104409,Female,35
C104416,Male,67
C104418,Male,38
C104421,Male,67
C104423,Female,18
C104426,Female,60
C104427,Female,58
C104429,Female,26
C104431,Male,43
C104433,Male,30
C104436,Male,26
C104437,Female,53
C104439,Female,61
C104444,Female,27
C104453,Female,64
C104459,Male,57
C104460,Male,66
C104462,Female,42
C104465,Male,34
C104466,Female,51
C104473,Male,28
C104478,Female,18
C104483,Male,50
C104484,Female,67
C104488,Male,54
C104492,Female,34
C104495,Female,29
C104496,Female,32
C104498,Female,66
C104500,Female,58
C104509,Female,27
C104510,Male,23
C104512,Female,26
C104514,Female,37
C104519,Male,52
C104520,Female,57
C104526,Male,58
C104528,Female,23
C104532,Male,33
C104537,Female,52
C104538,Female,61
C104539,Male,46
C104542,Female,38
C104543,Female,50
C104556,Male,44
C104560,Female,21
C104567,Male,69
C104568,Male,30
C104570,Female,58
C104573,Female,22
C104576,Female,18
C104577,Female,68
C104578,Female,52
C104579,Female,42
C104584,Female,28
C104592,Female,33
C104593,Male,18
C104596,Male,50
C104600,Female,51
C104601,Male,22
C104604,Male,49
C104605,Female,38
C104609,Male,20
C104612,Female,18
C104615,Female,48
C104616,Male,31
C104617,Female,54
C104620,Male,21
C104626,Female,42
C104627,Male,47
C104633,Female,44
C104634,Male,61
C104637,Female,39
C104641,Female,57
C104644,Male,55
C104646,Male,69
C104654,Female,22
C104655,Female,50
C104658,Female,59
C104659,Female,55
C104660,Female,64
C104665,Male,43
C104669,Female,51
C104670,Female,64
C104673,Female,56
C104686,Female,29
C104687,Male,34
C104688,Female,63
C104689,Female,24
C104690,Female,32
C104696,Female,36
C104698,Female,57
C104702,Female,23
C104706,Male,47
C104708,Female,32
C104712,Male,59
C104715,Female,35
C104718,Female,61
C104719,Male,33
C104720,Female,63
C104725,Female,64
C104728,Female,18
C104730,Male,69
C104734,Male,46
C104738,Female,69
C104739,Female,28
C104740,Female,39
C104744,Female,52
C104749,Female,30
C104755,Male,42
C104758,Male,39
C104760,Female,39
C104764,Female,60
C104767,Male,49
C104771,Female,37
C104772,Female,43
C104775,Female,24
C104778,Male,40
C104785,Female,49
C104787,Female,66
C104794,Male,30
C104795,Female,46
C104796,Male,19
C104799,Female,50
C104800,Male,41
C104804,Male,44
C104807,Female,21
C104808,Female,49
C104815,Male,47
C104816,Female,26
C104818,Female,60
C104821,Female,45
C104824,Male,35
C104831,Female,56
C104837,Female,66
C104845,Female,65
C104847,Female,67
C104848,Female,28
C104852,Male,42
C104854,Male,67
C104860,Male,45
C104868,Female,64
C104877,Male,63
C104881,Female,67
C104884,Female,36
C104886,Male,53
C104891,Female,65
C104897,Female,68
C104899,Male,63
C104902,Female,49
C104903,Female,69
C104905,Male,19
C104908,Male,24
C104909,Male,69
C104915,Female,54
C104923,Male,44
C104925,Female,23
C104927,Female,30
C104933,Male,47
C104942,Male,35
C104949,Male,44
C104950,Male,33
C104956,Female,24
C104957,Male,19
C104958,Male,61
C104959,Female,68
C104961,Male,51
C104963,Male,69
C104964,Male,29
C104974,Female,26
